pathway_name,pathway_id,pathway_url,gene_symbol,ensg_id,chembl_id,drug_name,phase,status,disease_id,disease_name,mechanismOfAction,smiles
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4297258,FIRMONERTINIB,3.0,Not yet recruiting,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC(F)(F)F)nc1N(C)CCN(C)C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2107861,ZALUTUMUMAB,3.0,Completed,EFO_0000707,squamous cell carcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4298088,CETUXIMAB SAROTALOCAN,3.0,Recruiting,EFO_0006859,head and neck malignant neoplasia,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3544983,TESEVATINIB,3.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4297865,ABIVERTINIB,3.0,Not yet recruiting,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4297866,ABIVERTINIB MALEATE,3.0,Not yet recruiting,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1.O.O.O=C(O)/C=C\C(=O)O
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2110732,DACOMITINIB ANHYDROUS,3.0,Completed,EFO_0003060,non-small cell lung carcinoma,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2109388,FUTUXIMAB,3.0,Terminated,EFO_1001480,metastatic colorectal cancer,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3989988,MODOTUXIMAB,3.0,Terminated,EFO_1001480,metastatic colorectal cancer,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4594549,PIMURUTAMAB,2.0,"Active, not recruiting",EFO_0000181,head and neck squamous cell carcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4297661,TARLOXOTINIB,2.0,Terminated,EFO_0000181,head and neck squamous cell carcinoma,,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(Br)c3)ncnc2cn1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3707294,DEPATUXIZUMAB,2.0,Completed,EFO_0000228,adenocarcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2408045,SAPITINIB,2.0,Completed,EFO_0000365,colorectal adenocarcinoma,,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4650290,GC1118,2.0,Recruiting,EFO_0000503,gastric adenocarcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3787344,NAZARTINIB,2.0,Recruiting,EFO_0000616,neoplasm,,Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2108038,MATUZUMAB,2.0,Completed,EFO_0003060,non-small cell lung carcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2109389,IMGATUZUMAB,2.0,Completed,EFO_0003060,non-small cell lung carcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4297842,TOMUZOTUXIMAB,2.0,Completed,EFO_0000707,squamous cell carcinoma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3545396,BMS-690514,2.0,Completed,EFO_0003060,non-small cell lung carcinoma,,COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL545315,CANERTINIB DIHYDROCHLORIDE,2.0,Completed,EFO_0003869,breast neoplasm,,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL31965,CANERTINIB,2.0,Completed,EFO_0003869,breast neoplasm,,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL607707,PELITINIB,2.0,Completed,EFO_0004142,colorectal neoplasm,,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3137345,DULIGOTUZUMAB,2.0,Completed,EFO_0006859,head and neck malignant neoplasia,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4650281,CLN-081,2.0,Recruiting,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3623290,AZD-3759,2.0,Recruiting,EFO_0003060,non-small cell lung carcinoma,,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3786098,PF-06459988,2.0,Withdrawn,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2103842,VARLITINIB,2.0,Completed,EFO_0003897,stomach neoplasm,,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2109390,MAB-425,2.0,Completed,EFO_1000453,Paraganglioma,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL1947204,ALLITINIB,2.0,Not yet recruiting,MONDO_0008903,lung cancer,,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL587723,AEE-788,1.0,Completed,EFO_0000519,glioblastoma multiforme,,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL258940,FALNIDAMOL,1.0,Suspended,EFO_0000616,neoplasm,,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL1645462,AC-480,1.0,Completed,EFO_0000616,neoplasm,,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4650279,TUXOBERTINIB,1.0,Terminated,EFO_0000616,neoplasm,,C=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2cc1OCCN1CCOCC1
