chembl_id,pref_name,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,has_target_info,has_pathway_info
CHEMBL607707,PELITINIB,1.0,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL203,236.0,236.0,109.0,True,True,109.0,CHEMBL1824; CHEMBL1841; CHEMBL1844; CHEMBL1862; CHEMBL1974; CHEMBL203; CHEMBL2073; CHEMBL2148; CHEMBL2250; CHEMBL2349; CHEMBL2468; CHEMBL258; CHEMBL2599; CHEMBL2634; CHEMBL267; CHEMBL2695; CHEMBL2777; CHEMBL279; CHEMBL2828; CHEMBL2959; CHEMBL2964; CHEMBL2971; CHEMBL2996; CHEMBL3009; CHEMBL3234; CHEMBL3587; CHEMBL3717; CHEMBL3830; CHEMBL3832; CHEMBL3834; CHEMBL3835; CHEMBL3886; CHEMBL3905; CHEMBL3906; CHEMBL3956; CHEMBL3980; CHEMBL3981; CHEMBL3982; CHEMBL3984; CHEMBL3987; CHEMBL4004; CHEMBL4014; CHEMBL4128; CHEMBL4134; CHEMBL4202; CHEMBL4203; CHEMBL4223; CHEMBL4224; CHEMBL4225; CHEMBL4226; CHEMBL4247; CHEMBL4310; CHEMBL4312; CHEMBL4355; CHEMBL4367; CHEMBL4454; CHEMBL4522; CHEMBL4525; CHEMBL4526; CHEMBL4527; CHEMBL4597; CHEMBL4598; CHEMBL4599; CHEMBL4600; CHEMBL4630; CHEMBL4708; CHEMBL4851; CHEMBL4852; CHEMBL4853; CHEMBL4895; CHEMBL4937; CHEMBL4954; CHEMBL5072; CHEMBL5073; CHEMBL5082; CHEMBL5095; CHEMBL5146; CHEMBL5147; CHEMBL5251; CHEMBL5256; CHEMBL5260; CHEMBL5274; CHEMBL5284; CHEMBL5314; CHEMBL5320; CHEMBL5330; CHEMBL5331; CHEMBL5358; CHEMBL5432; CHEMBL5455; CHEMBL5491; CHEMBL5520; CHEMBL5543; CHEMBL5552; CHEMBL5579; CHEMBL5667; CHEMBL5671; CHEMBL5698; CHEMBL5699; CHEMBL5749; CHEMBL5753; CHEMBL5785; CHEMBL5855; CHEMBL5912; CHEMBL5940; CHEMBL5970; CHEMBL6005; CHEMBL6123; CHEMBL6166,"Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Cyclin-dependent kinase 16; Calcium/calmodulin-dependent protein kinase kinase 2; Dual specificity protein kinase CLK3; Cyclin-G-associated kinase; Dual specificity protein kinase CLK2; Ribosomal protein S6 kinase alpha-2; Phosphorylase b kinase gamma catalytic chain, liver/testis isoform; Dual specificity protein kinase CLK1; Ephrin type-B receptor 1; Ephrin type-A receptor 5; Serine/threonine-protein kinase 17B; Casein kinase I isoform epsilon; Dual specificity protein kinase CLK4; Tyrosine-protein kinase ABL1; Serine/threonine-protein kinase 10; Ephrin type-A receptor 6; Tyrosine-protein kinase FRK; Ephrin type-A receptor 8; Myosin light chain kinase 2, skeletal/cardiac muscle; Tyrosine-protein kinase ABL2; STE20-like serine/threonine-protein kinase; Mitogen-activated protein kinase kinase kinase kinase 5; Angiopoietin-1 receptor; Ephrin type-B receptor 4; Serine/threonine-protein kinase 36; Ephrin type-A receptor 3; Tyrosine-protein kinase Lck; Serine/threonine-protein kinase 3; Serine/threonine-protein kinase 4; AP2-associated protein kinase 1; Death-associated protein kinase 3; BMP-2-inducible protein kinase; Calcium/calmodulin-dependent protein kinase type 1D; Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform; Tyrosine-protein kinase HCK; TRAF2 and NCK-interacting protein kinase; Serine/threonine-protein kinase 17A; Serine/threonine-protein kinase ULK3; Tyrosine-protein kinase Yes; Serine/threonine-protein kinase Nek2; Tyrosine-protein kinase Lyn; Focal adhesion kinase 1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase Fer; Serine/threonine-protein kinase 38-like; Activated CDC42 kinase 1; Proto-oncogene tyrosine-protein kinase Src; Mitogen-activated protein kinase kinase kinase 4; Tyrosine-protein kinase Fyn; Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase; Tyrosine-protein kinase SYK; Tyrosine-protein kinase BTK; Serine/thre",P00533; P04626; Q00536; Q96RR4; P49761; O14976; P49760; Q15349; P15735; P49759; P54762; P54756; O94768; P49674; Q9HAZ1; P00519; O94804; Q9UF33; P42685; P29322; Q9H1R3; P42684; Q9H2G2; Q9Y4K4; Q02763; P54760; Q9NRP7; P29320; P06239; Q9JI10; Q13043; Q2M2I8; O43293; Q9NSY1; Q8IU85; Q16816; P08631; Q9UKE5; Q9UEE5; Q3U3Q1; P07947; P51955; P07948; Q05397; O60674; P16591; Q9Y2H1; Q07912; P12931; Q9Y6R4; P06241; Q99640; P43405; Q06187; Q13153; P41240; P35968; P36888; P78356; P30291; O00506; Q9NYL2; Q8N752; P48730; P42681; Q9Y463; Q06418; Q02750; P36507; Q08881; P52333; Q9H0K1; Q9BYT3; Q59H18; Q9NY57; Q9P2K8; Q9UM73; Q09013; Q92918; Q8IVH8; P30530; P51451; O95819; Q9P0L2; Q12866; P08581; Q8N5S9; Q13188; Q9Y6E0; O14757; O14578; P07333; Q9C098; Q96PY6; Q96D53; P51813; Q9H093; P35590; Q05655; P19525; P07332; P09769; P11274; Q13233; Q99759; Q12851; P0C1S8; P80370; Q15303,1.0,map00562  Inositol phosphate metabolism;map01100  Metabolic pathways,True,True
CHEMBL225072,PEMETREXED,3.0,INHIBITOR,Dihydrofolate reductase inhibitor; Thymidylate synthase inhibitor; GAR transformylase inhibitor,CHEMBL202; CHEMBL1952; CHEMBL3972,97.0,97.0,15.0,True,True,15.0,CHEMBL1795188; CHEMBL1809; CHEMBL1952; CHEMBL202; CHEMBL2121; CHEMBL2425; CHEMBL2518; CHEMBL2902; CHEMBL3160; CHEMBL3972; CHEMBL4564; CHEMBL4833; CHEMBL5064; CHEMBL5328; CHEMBL6137,Dihydrofolate reductase; Thymidylate synthase; Trifunctional purine biosynthetic protein adenosine-3; Bifunctional dihydrofolate reductase-thymidylate synthase; Proton-coupled folate transporter; Folate receptor beta; Folate receptor alpha; Reduced folate transporter; Bifunctional purine biosynthesis protein ATIC,P00374; P04818; P22102; P0ABQ4; Q07422; C3SWJ7; P00375; P00469; P07607; P00381; Q96NT5; P14207; P15328; P41440; P31939,4.0,map00670  One carbon pool by folate;map00790  Folate biosynthesis;map01100  Metabolic pathways; map00240  Pyrimidine metabolism;map00670  One carbon pool by folate;map01100  Metabolic pathways; map00230  Purine metabolism;map00670  One carbon pool by folate;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites; map00670  One carbon pool by folate;map00790  Folate biosynthesis;map01100  Metabolic pathways;map00240  Pyrimidine metabolism,True,True
CHEMBL1201198,PEMIROLAST,1.0,,,,1.0,1.0,1.0,True,True,1.0,CHEMBL2390812,G protein-coupled receptor GPR35,Q33BM1,0.0,,True,False
CHEMBL1617409,PEMPIDINE,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL1540,PENCICLOVIR,1.0,INHIBITOR,Human herpesvirus 1 DNA polymerase inhibitor,CHEMBL1872,1.0,0.0,0.0,True,True,1.0,CHEMBL1872,DNA polymerase catalytic subunit,P04293,0.0,,True,False
CHEMBL47050,PENFLURIDOL,1.0,,,,21.0,21.0,21.0,True,True,21.0,CHEMBL1833; CHEMBL1850; CHEMBL1916; CHEMBL1941; CHEMBL1942; CHEMBL1983; CHEMBL2056; CHEMBL214; CHEMBL217; CHEMBL219; CHEMBL223; CHEMBL224; CHEMBL225; CHEMBL231; CHEMBL233; CHEMBL234; CHEMBL236; CHEMBL237; CHEMBL246; CHEMBL3371; CHEMBL3426,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 1D; 5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2B; 5-hydroxytryptamine receptor 2C; 5-hydroxytryptamine receptor 5A; 5-hydroxytryptamine receptor 6; D(1A) dopamine receptor; D(2) dopamine receptor; D(3) dopamine receptor; D(4) dopamine receptor; D(1B) dopamine receptor; Kappa-type opioid receptor; Mu-type opioid receptor; Delta-type opioid receptor; Histamine H1 receptor; Histamine H2 receptor; Alpha-1D adrenergic receptor; Alpha-2B adrenergic receptor; Alpha-2C adrenergic receptor; Beta-3 adrenergic receptor,P08908; P28221; P28223; P41595; P28335; P47898; P50406; P21728; P14416; P35462; P21917; P21918; P41145; P35372; P41143; P35367; P25021; P25100; P18089; P18825; P13945,0.0,,True,False
CHEMBL1430,PENICILLAMINE,1.0,CHELATING AGENT,Copper chelating agent,CHEMBL2363057,2.0,2.0,1.0,True,True,2.0,CHEMBL221; CHEMBL2363057,Prostaglandin G/H synthase 1,P23219,1.0,map00590  Arachidonic acid metabolism;map01100  Metabolic pathways,True,True
CHEMBL615,PENICILLIN V,1.0,INHIBITOR,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,1.0,0.0,0.0,True,True,1.0,CHEMBL2354204,,,0.0,,True,False
CHEMBL4303190,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL55,PENTAMIDINE,1.0,,,,54.0,43.0,34.0,True,True,34.0,CHEMBL1075105; CHEMBL1075169; CHEMBL1743122; CHEMBL1743126; CHEMBL1743127; CHEMBL1795140; CHEMBL1801; CHEMBL1821; CHEMBL1867; CHEMBL1907604; CHEMBL1951; CHEMBL2035; CHEMBL204; CHEMBL2056; CHEMBL2073673; CHEMBL211; CHEMBL2118; CHEMBL220; CHEMBL222; CHEMBL224; CHEMBL225; CHEMBL228; CHEMBL233; CHEMBL234; CHEMBL238; CHEMBL240; CHEMBL264; CHEMBL3018; CHEMBL315; CHEMBL319; CHEMBL3243910; CHEMBL4162; CHEMBL4286; CHEMBL4300,Suppressor of tumorigenicity 14 protein; Protein S100-B; Alpha-1A adrenergic receptor; Alpha-1B adrenergic receptor; Alpha-2A adrenergic receptor; Sodium-dependent noradrenaline transporter; D(3) dopamine receptor; Sodium-dependent dopamine transporter; Amine oxidase [flavin-containing] A; Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M4; Muscarinic acetylcholine receptor M5; 5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; Multidrug and toxin extrusion protein 1; Multidrug and toxin extrusion protein 2; Solute carrier family 22 member 3; Solute carrier family 22 member 2; Glutamate NMDA receptor; GRIN1/GRIN2A; Diamine oxidase [copper-containing]; Diamine acetyltransferase 1; Acrosin; Plasminogen; Voltage-gated inwardly rectifying potassium channel KCNH2; Protein tyrosine phosphatase type IVA 1; Protein tyrosine phosphatase type IVA 2; Protein tyrosine phosphatase type IVA 3; Transmembrane protease serine 2; D(1A) dopamine receptor; Acetylcholinesterase; Sodium-dependent serotonin transporter; Mu-type opioid receptor; Prothrombin; Histamine H3 receptor,Q9Y5Y6; P04271; P43140; P15823; P08913; P23975; P35462; Q01959; P21397; P08172; P08173; P08912; P28223; P28335; Q96FL8; Q86VL8; O75751; O15244; Q12879; P19801; P21673; P08001; P00747; Q12809; Q93096; Q12974; O75365; O15393; P21728; P22303; P31645; P35372; P00734; Q9Y5N1,4.0,"map00260  Glycine, serine and threonine metabolism;map00350  Tyrosine metabolism;map00360  Phenylalanine metabolism;map00410  beta-Alanine metabolism;map00950  Isoquinoline alkaloid biosynthesis;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map00330  Arginine and proline metabolism;map00340  Histidine metabolism;map00380  Tryptophan metabolism;map00982  Drug metabolism - cytochrome P450; map00330  Arginine and proline metabolism;map00340  Histidine metabolism;map00380  Tryptophan metabolism;map01100  Metabolic pathways; map00330  Arginine and proline metabolism;map01100  Metabolic pathways; map00564  Glycerophospholipid metabolism",True,True
