specs_compound_name,chembl_id,pref_name,synonyms,max_phase,first_approval,therapeutic_flag,withdrawn_flag,canonical_smiles,standard_inchi_key,full_mwt,alogp,hba,hbd,aromatic_rings,num_ro5_violations,indication_class,drug_schembl,drug_cid,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,best_pchembl,median_pchembl,has_drug_info,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,kegg_ids,ec_numbers,has_target_info,has_pathway_info
PX-478,CHEMBL4061538,PX-478,PX 478,1.0,,0.0,0.0,Cl.Cl.N[C@@H](Cc1ccc([N+]([O-])(CCCl)CCCl)cc1)C(=O)O,GIGCDIVNDFQKRA-LTCKWSDVSA-N,394.13,1.92,3.0,2.0,1.0,0.0,,18548830.0,11234794,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
PYR-41,CHEMBL2322201,,,,,0.0,0.0,CCOC(=O)c1ccc(N2NC(=O)/C(=C/c3ccc([N+](=O)[O-])o3)C2=O)cc1,ARGIPZKQJGFSGQ-LCYFTJDESA-N,371.31,1.83,7.0,1.0,2.0,0.0,,8244763.0,5335621,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"Peficitinib (ASP015K, JNJ-54781532)",CHEMBL4238926,,,,,0.0,0.0,NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2,DREIJXJRTLTGJC-UHFFFAOYSA-N,326.4,2.01,4.0,4.0,2.0,0.0,,1155034.0,57928435,1.0,,,,12.0,12.0,4.0,9.37,8.405000000000001,True,True,True,4.0,CHEMBL2148; CHEMBL2835; CHEMBL2971; CHEMBL3553,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK3; Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK2,P23458; P52333; P29597; O60674,0.0,,,2.7.10.2,True,False
Perampanel,CHEMBL1214124,PERAMPANEL,E-2007,4.0,2012.0,1.0,0.0,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,PRMWGUBFXWROHD-UHFFFAOYSA-N,349.39,4.44,4.0,0.0,4.0,0.0,,194370.0,9924495,1.0,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist,CHEMBL2096670,6.0,6.0,2.0,6.61,6.07,True,True,True,3.0,CHEMBL2009; CHEMBL2096670; CHEMBL3595,Glutamate receptor 1; Glutamate receptor 3,P42261; P42263,0.0,,,,True,False
PhiKan-083,CHEMBL1235116,,,,,0.0,0.0,CCn1c2ccccc2c2cc(CNC)ccc21,LBPNOEAFWYTTEB-UHFFFAOYSA-N,238.33,3.53,2.0,1.0,3.0,0.0,,20181195.0,4722579,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
Proxyphylline,CHEMBL37390,PROXYPHYLLINE,MONOPHYLLIN,2.0,,1.0,0.0,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,KYHQZNGJUGFTGR-UHFFFAOYSA-N,238.25,-1.19,7.0,1.0,2.0,0.0,,35569.0,4977,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
Q-203,CHEMBL3298910,TELACEBEC,Q-203,2.0,,0.0,0.0,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(N2CCC(c3ccc(OC(F)(F)F)cc3)CC2)cc1,OJICYBSWSZGRFB-UHFFFAOYSA-N,557.02,6.76,5.0,1.0,4.0,2.0,,12295312.0,68234908,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
QX-222,CHEMBL1354145,,,,,0.0,0.0,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C,QYUXPWDVDMSTKR-UHFFFAOYSA-O,221.32,1.95,1.0,1.0,1.0,0.0,,94463.0,5014,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
QX-314,CHEMBL1180496,,,,,0.0,0.0,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,PYEBKOFMWAMBFV-UHFFFAOYSA-O,263.4,3.12,1.0,1.0,1.0,0.0,,93854.0,3925,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
R-1479,CHEMBL393857,4'-AZIDOCYTIDINE,4'-AZIDOCYTIDINE,-1.0,,0.0,0.0,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,ODLGMSQBFONGNG-JVZYCSMKSA-N,284.23,-1.93,9.0,4.0,1.0,0.0,,13471881.0,457388,1.0,,,,1.0,1.0,1.0,5.89,5.89,True,True,True,1.0,CHEMBL243,Human immunodeficiency virus type 1 protease,Q72874,0.0,,,,True,False
