compound_name,Morphology score,Infection rate (%),Inhibition of cytopathicity (%),naive_composite,naive_rank
ML277,0.424153893678619,61.5,1.652,0.19599248135181693,160.0
LY2109761,0.686231842447033,80.0,0.316,0.1957250234519997,161.0
bifemelane,0.517233017012803,65.0,-0.18200000000000002,0.19471640301168244,162.0
promethazine,0.528302783934657,67.5,0.39199999999999996,0.1944474104028294,163.0
L-760735,0.430401290322651,58.0,-0.13600000000000004,0.1943914741278845,164.0
NS-3861,0.427472175295592,69.5,4.298,0.1935166964241776,165.0
butenafine,0.502308999395294,71.0,2.452,0.19346625625924163,166.0
BCX-1470,0.57778135348999,76.0,1.89,0.19303639452543045,167.0
GBR-13069,0.456169739755211,65.5,1.42,0.19072141751853441,168.0
GDC-0834,0.450192982891372,69.0,2.664,0.18855458258413746,169.0
mifepristone,0.44301247909896,65.5,1.2360000000000002,0.18642981452759888,170.0
eticlopride,0.425660380896067,63.5,0.954,0.1859575217366638,171.0
JW-642,-0.14249097139172,24.5,3.5799999999999996,0.18161389655408597,172.0
Y-29794,0.361329749917228,94.5,14.34,0.1808383210164339,173.0
SB-216641,0.282271721312203,53.0,0.6920000000000001,0.18014740948928135,174.0
PNU-89843,0.452311272137604,75.0,3.568,0.1790072313562989,175.0
CCT129202,0.470390031841055,74.5,2.6759999999999997,0.17821126340703053,176.0
clofazimine,0.421940365668923,64.0,0.13999999999999985,0.1780140976256683,177.0
pimozide,0.480371175559578,66.5,-0.8280000000000001,0.17767589143941345,178.0
LY344864,0.43776165018102,70.5,2.054,0.17733111913706534,179.0
chlorhexidine,0.277352459273294,58.0,2.39,0.17731896283840345,180.0
pexidartinib,0.472567200385154,77.5,3.6020000000000003,0.17702891073764937,181.0
PFK-158,0.388761234145163,63.5,0.8780000000000001,0.1770193772939468,182.0
BAN-ORL-24,0.505504032419514,63.5,-2.9859999999999998,0.17640499515231922,183.0
alverine,0.396820645782442,62.0,-0.13599999999999998,0.17581509985233656,184.0
BIX-01294,0.455500222037774,73.5,2.38,0.17546892120395152,185.0
genz-123346,0.392500693256641,71.5,3.3520000000000003,0.17342871816441452,186.0
terbinafine,0.413154195890864,81.0,6.215999999999999,0.17233697620548258,187.0
BCTC,0.327552693868089,58.5,0.21200000000000002,0.1720530983395722,188.0
SPP86,0.471220695628293,69.5,-0.21400000000000005,0.17171754528660718,189.0
primaquine,0.490524985005265,76.5,1.8519999999999999,0.1715316414186209,190.0
cepharanthine,0.461078436321847,77.5,3.154,0.1712588570333925,191.0
metixene,0.383466652876003,86.0,8.928,0.17100601088856357,192.0
cyclosporin-A,0.508332505808322,87.0,5.224,0.17063559026746677,193.0
PD-407824,0.685264259981105,93.5,2.012,0.17055838098665252,194.0
axitinib,0.56316896530793,80.5,0.41999999999999993,0.16706556145176257,195.0
CID-2745687,0.433158651326872,74.0,2.0799999999999996,0.166903050431965,196.0
simvastatin,-0.077378134473595,26.5,0.12800000000000003,0.1666774651419821,197.0
colforsin-daproate,0.50013072711226,88.5,5.508,0.16666862757316017,198.0
chlorprothixene,0.434046683037032,68.5,-0.16799999999999998,0.16630786156883362,199.0
dapoxetine,0.466907784543136,76.0,1.5899999999999999,0.16567500855339165,200.0
EMD-386088,0.431965310220212,76.0,2.7,0.16553128268707903,201.0
lofemizole,-0.094183957891062,102.0,29.711999999999996,0.16482197483619618,202.0
danazol,0.376944117353913,72.0,2.652,0.16359222196294762,203.0
SCH-900776,0.534958466769374,82.0,1.286,0.1626389338048548,204.0
benzydamine,0.39990138242811,70.5,1.186,0.16259882987326216,205.0
fluoxetine,0.538858975503185,66.0,-5.093999999999999,0.16233118863653676,206.0
3'-fluorobenzylspiperone,0.325382960464864,103.0,16.056,0.16150775928586467,207.0
homochlorcyclizine,0.289506042063146,59.5,0.332,0.16150112654641866,208.0
trequinsin,0.541005774311453,87.5,2.622,0.15839352316892583,209.0
STA-5326,-0.333719615906638,43.5,13.73,0.1576029986599823,210.0
piperacetazine,0.383581637912762,75.0,2.632,0.15676629191353875,211.0
xanomeline,0.439567446090619,71.5,-0.6359999999999999,0.15607392339134055,212.0
CID-5458317,0.213342001865284,85.5,12.104000000000001,0.15598655668284359,213.0
LH846,0.406648504751659,76.5,2.2079999999999997,0.15493627386319955,214.0
dimethisoquin,0.410361519495586,71.5,0.08000000000000007,0.1544630432230917,215.0
"1-(1,2-diphenylethyl)piperidine-(+/-)",0.348634711904247,69.0,1.1,0.1544166956133126,216.0
17-hydroxyprogesterone-caproate,0.523358442308259,85.5,1.7120000000000002,0.1534332041723473,217.0
ASC-J9,0.3347611209773,80.5,5.862,0.15335845089959857,218.0
bifonazole,0.40698451009858,79.0,2.9079999999999995,0.1531098263644014,219.0
tyrphostin-AG-835,0.485451164586461,78.0,-0.06000000000000005,0.15281832491790617,220.0
cyclopiazonic-acid,0.360747122796901,76.5,3.34,0.15245171432778223,221.0
biperiden,0.479874012266427,75.5,-0.924,0.15229671731169067,222.0
CGP-52411,0.389508413572101,72.0,0.496,0.1512764104410437,223.0
PI4KIII-beta-inhibitor-1,0.324730766235868,66.0,0.2540000000000001,0.1512143077713274,224.0
ML298,0.25858074439921,75.5,6.004,0.15067049222276221,225.0
SB-202190,0.313349722781669,71.0,2.484,0.15065930384009274,226.0
SB-239063,0.395683092342513,85.0,5.212000000000001,0.15036163670201294,227.0
LDN-57444,0.394906468400037,76.0,1.5779999999999998,0.1491934770979786,228.0
ZM-226600,0.347474138733374,78.0,3.876,0.14910382039155712,229.0
Toremifene citrate,0.421535575423821,77.0,1.0619999999999998,0.14889318609977112,230.0
azelastine,0.458422664616602,72.0,-2.136,0.14844253785517483,231.0
EHop-016,0.234755463279946,93.0,13.184000000000001,0.14797393543883167,232.0
budipine,0.395293219368992,76.5,1.5859999999999999,0.14797174856022668,233.0
toceranib,-0.072104662235952,26.0,-2.928,0.14773188479374033,234.0
oxelaidin,0.422930740195885,73.5,-0.638,0.14680664077839176,235.0
moxaverine,0.495294217791718,86.0,1.8559999999999999,0.14668962567287933,236.0
flupentixol,0.506041835481051,79.0,-1.3219999999999998,0.14589143412213568,237.0
glafenine,0.534638597881945,83.0,-0.7579999999999999,0.14544515696281027,238.0
ETC-159,0.382112396646977,80.5,3.2019999999999995,0.14541687726718347,239.0
MOMETASONE FUROATE,0.481308757900951,78.0,-0.984,0.14537048614430045,240.0
doramapimod,0.481880456237812,86.0,2.1019999999999994,0.14536658430450647,241.0
cetrorelix,0.394059328570545,79.5,2.388,0.14513969077019528,242.0
JTE-607,0.414464637826318,76.5,0.502,0.14470691491645193,243.0
ORY-1001,0.432180333793719,79.5,1.068,0.14452898196755545,244.0
wnt-c59,0.392461740075254,75.5,0.7060000000000001,0.1438644283288437,245.0
GW-1929,0.317368528204195,70.0,0.8640000000000001,0.1429028045172165,246.0
securinine,0.327413135309093,85.5,6.422,0.14196597906879493,247.0
colforsin,0.454557116469589,83.0,1.2440000000000002,0.14130101471226145,248.0
eperisone,0.374057250493736,80.0,2.6420000000000003,0.14100646956292187,249.0
BMS-191095,0.454779265565719,81.0,0.378,0.14071989879209745,250.0
GTS21,0.51682983204887,87.0,0.626,0.14020319270408552,251.0
arglabin,0.144013046202531,68.0,5.3020000000000005,0.140129765406146,252.0
talarozole,0.325655740619816,74.5,1.922,0.13994275930077218,253.0
DPPE,0.389902534896527,71.0,-1.538,0.1397801082016056,254.0
VU0155069,0.459723272049962,87.0,2.324,0.13915119136105444,255.0
CY208-243,0.609280141677502,95.5,0.616,0.13796271746167266,256.0
ABT-239,0.43963111953864,80.5,0.20199999999999996,0.13739734203848072,257.0
C-021,0.415088938414857,51.5,-10.334,0.13687532254589338,258.0
BD-1008,0.355370666647249,74.5,0.51,0.1367700790466125,259.0
pixantrone,0.327817355968767,71.0,-0.16,0.13534167951430973,260.0
desloratadine,0.351187942582956,76.0,1.0239999999999998,0.13533746651539488,261.0
flunarizine,0.364279644887023,69.5,-1.9600000000000002,0.1350726381950528,262.0
beta-lapachone,0.360795350505759,78.5,1.3619999999999997,0.13307413020639344,263.0
"1,12-Besm",0.31227330547601,80.5,3.626,0.13249696739241887,264.0
CGP-53353,0.328882619027997,77.5,1.9080000000000001,0.13238235119956254,265.0
halofantrine,0.405817096168198,79.5,0.13999999999999996,0.131992574347801,266.0
Triparanol,0.08478664880531,77.5,9.684000000000001,0.13153268082251104,267.0
Ro-04-5595,0.297535086102471,72.0,0.6519999999999999,0.13142923012518878,268.0
honokiol,0.431507528302925,80.5,-0.484,0.13071825277774715,269.0
tarafenacin,0.37127944459284,74.0,-1.076,0.13059453787613765,270.0
SB-772077B,0.488320980695046,87.0,0.15,0.13036000234952852,271.0
SNS-314,0.392531539532234,80.0,0.344,0.12903695116902517,272.0
penfluridol,0.173020562911035,79.0,6.911999999999999,0.12801464074384714,273.0
pirfenidone,0.288555256139592,83.0,4.726000000000001,0.12800841482832945,274.0
MR-16728,0.404033222144543,75.5,-1.932,0.12792949240900794,275.0
AZ191,0.377301594940971,100.5,8.508,0.12702795844903178,276.0
melperone,0.388645315687391,80.5,0.368,0.12695475796460076,277.0
CBiPES,0.372266232334396,87.0,3.3939999999999997,0.12676660000881687,278.0
neurodazine,0.197613770708863,70.0,2.43,0.12665454586227343,279.0
auranofin,0.299836468989342,79.0,2.5200000000000005,0.12597739108166406,280.0
ozanimod,0.262394232501324,101.0,12.234,0.1257227613424017,281.0
azelnidipine,0.294674561872922,71.5,-0.3280000000000001,0.12524522745320174,282.0
NVP-BVU972,0.441863742736214,83.0,-0.6299999999999999,0.12521833717820208,283.0
AMG-PERK-44,0.063103308911717,76.0,8.894,0.12513184771827504,284.0
cloperastine,0.41206999566647,75.5,-2.6100000000000003,0.12498696327416751,285.0
UK-383367,0.510262419816915,85.0,-2.108,0.12492612754856225,286.0
10-DEBC,0.331089333505747,93.0,6.714,0.12436689391251195,287.0
tolterodine,0.350268168388241,77.5,-0.06399999999999997,0.12337069175349495,288.0
trimipramine,0.450965332833099,80.5,-2.246,0.12274587295201851,289.0
GDC-0879,0.096157698004786,79.5,8.842,0.12273052029073213,290.0
"1,2,3,4,5,6-hexabromocyclohexane",0.416400102226607,85.0,0.5720000000000001,0.12241640324819618,291.0
4-PPBP,0.28566036320039,73.5,0.26399999999999996,0.12189528894081685,292.0
AZD4547,0.373449612857741,79.5,-0.33999999999999997,0.12124248921708025,293.0
U-18666A,0.234241295919393,84.0,5.91,0.12124184809726342,294.0
thiothixene,0.381480785981986,80.5,-0.32,0.12047999946877692,295.0
ORG-25543,0.33383726802662,77.5,0.028000000000000115,0.1202764695494627,296.0
costunolide,0.222125798716199,78.5,3.996,0.12003651528336905,297.0
merbromin,,,-11.969999999999999,0.11974151039026862,298.0
pergolide,0.343314522572765,78.0,-0.29799999999999993,0.11877376094196605,299.0
DCC-2618,0.414618276244314,97.5,4.914,0.11842302847669968,300.0
cinchocaine,0.434579752737103,88.0,0.5660000000000001,0.11831754687663816,301.0
copanlisib,-0.039685542014918,34.0,-5.078,0.11812198030924655,302.0
AZD2858,0.224344098548742,99.0,11.594,0.11801671504587503,303.0
SAR131675,0.464070007082954,92.0,1.08,0.11772277322555413,304.0
benazepril,0.413119812117662,90.5,2.1100000000000003,0.11746876758120195,305.0
Ro-60-0175,0.449514682213638,90.5,0.8899999999999999,0.11716890901814488,306.0
carbetapentane,0.362764208532047,83.0,0.766,0.11703189316784542,307.0
brinzolamide,0.267332502879646,69.0,-1.582,0.11702164161565627,308.0
sunitinib,0.395952359234068,99.0,5.898000000000001,0.11700067296047434,309.0
Salinomycin (Procoxacin),-0.003857540932231,107.5,22.012,0.116160959863986,310.0
U-50488-(-),0.415143725472332,88.5,1.074,0.11610126123426952,311.0
piroctone-olamine,0.406315550552012,88.0,1.114,0.1157384959965941,312.0
rebastinib,0.567279987810861,106.5,3.04,0.11540695530512468,313.0
P5091,0.270778570643534,82.5,3.29,0.11521751204264656,314.0
